id,phase,epic,title,priority,depends_on,acceptance,estimate_class,gap_ids,review_scope,validation_status
B001,A:S01,Product foundation,Define undergraduate operator and commercial context,P0,,Primary tasks and supported launch outcomes documented with representative interview evidence,S,UX-G16,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B002,A:S01,Product foundation,Specify complete flagship study contract,P0,B001,"Eye EEG EDA RT AAT BIAT and questionnaire blocks each have inputs outputs and launch criteria Review IM-G09: Use one gate definition: BIAT/AAT implementation G2, physical AAT G3, qualification G4, full IAT G6. Minimum local access and backup are launch conditions; shared/cloud expansion remains later.",M,IM-G09;UX-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B003,A:S01,Guided UX,Prototype five-step first eye study,P0,B001,"Plan Questions Collect Review Results tested without exposing advanced navigation Review UX-G01: Every enabled recipe/design choice changes materials, allocation, question flow, readiness and result schema coherently; unsupported designs cannot reuse paired results. Implement compilation/revision invariants in B044/B089 rather than adding them all to the prototype ticket.",M,UX-G01;UX-G03;UX-G16,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B004,A:S01,Guided UX,Measure first-study decision and action budget,P0,B003,Instrumentation counts all pointer keyboard and file-chooser activations and separates sample design next-participant and report stages,S,UX-G03;UX-G07;UX-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B005,A:S01,Scientific foundation,Specify paired-image automatic analysis recipe,P0,B002,"Primary outcome unit paired contrast exclusions and uncertainty fixed before execution Review BIO-G06: Hand-calculated fixtures for irregular sampling, last sample, one invalid eye, short/long gaps, overlapping AOIs, boundary points, absent targets and all-invalid exposure match the method card. The flagship contrast is B minus A in percentage points (positive means greater gaze share for B; A is the reference). Swapping A/B reverses the signed contrast while preserving absolute quality counts. Webcam profile cannot inherit laboratory fixation eligibility.",M,BIO-G06;UX-G01,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B006,A:S01,Scientific foundation,Specify BIAT protocol and scoring variant,P0,B002,"Focal categories blocks scoring exclusions and source references are unambiguous Review IM-G01,IM-G02: Freeze exact BIAT block/trial counts, focal/category mapping, first-versus-final-correct latency, preprocessing order, fast-trial denominator and signed score numerator. The draft paper profile cannot publish with an unresolved denominator. Hand-calculated fixtures and independent reference checks precede qualification.",M,IM-G01;IM-G02,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B007,A:S01,Scientific foundation,Specify physical push-pull AAT variant,P0,B002,"Direction onset completion input and scoring definitions distinguish task variants Review IM-G01,IM-G02,IM-G03: Keep physical AAT input, relevance dimension, assessment versus training, neutral/onset/completion thresholds, trial errors and contrast direction in named profiles. Do not substitute a vendor median score for a differently specified scientific profile. Device variants require separate qualification.",M,IM-G01;IM-G02;IM-G03,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B008,A:S01,Scientific foundation,Define modality fixture and reference plan,P0,B002,"Each launch modality has synthetic and independently checked reference fixtures Review BIO-G10: Each claimed supported output resolves to an evidence record and approved tolerance. A failing subgroup/condition cannot disappear from the aggregate. Same-method agreement, AOI downstream metric error, inter-rater disagreement and novice time/correctness appear independently. No build is labelled validated from screenshots or synthetic fixtures alone.",M,BIO-G10,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B009,A:S01,Architecture,Version study session event and clock schema,P0,B002,Schema round-trip covers every launch modality and preserves source timestamps,M,UX-G05;UX-G07;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
B010,A:S01,Architecture,Define questionnaire and response schema,P0,B002,"Question option revision displayed order coding and missingness IDs are explicit Review UX-G05,UX-G10,UX-G15: Keep immutable sample/preview/pilot/live provenance distinct from completion, QC and outcome eligibility. Optional blanks do not redefine submission, partial sessions contribute only under declared rules, and test origin cannot silently inflate live N. Review ARC-G02: Lost publish reply returns same release on retry; incomplete asset prevents release; null/skip branch fixtures agree in R and browser. Sample/preview cannot enter live cohort or consume live allocation. An old release never resolves mutable question/asset/method references.",M,ARC-G02;UX-G05;UX-G10;UX-G15,Apply the linked review contract within this ticket’s scope; re-estimate at refinement.,Planned; implementation and validation remain
